"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2789","filtre les transactions envoyées puis réinitialise la liste","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"","1715","filtre les transactions reçues et vérifie que les montants sont positifs","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"","2159","redirige vers /dashboard après une connexion réussie","","2026-07-16","passed","2026-07-16","","Connexion réussie - ZotoBank","",""
"","2789","désactive le bouton Envoyer le paiement tant qu'il n'y a pas de destinataire","","2026-07-16","passed","2026-07-16","","Nouvelle transaction - ZotoBank","",""
"","2116","renvoie vers /login si on ouvre le dashboard sans être connecté","","2026-07-16","passed","2026-07-16","","Protection des accès - ZotoBank","",""
"","1106","affiche un message de validation et reste sur /login lorsqu'on clique sur Se connecter sans saisir d'identifiants","","2026-07-16","passed","2026-07-16","","Robustesse de la connexion - champs vides","",""
"","1764","réduit la liste quand on recherche un terme présent","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"","1292","redirige vers la page d'inscription lorsqu'on clique sur S'inscrivez-vous","","2026-07-16","passed","2026-07-16","","Navigation - inscription","",""
"","2516","teste la connexion avec tous les utilisateurs","Gestion de plusieurs utilisateurs","2026-07-16","passed","2026-07-16","","Stratégie B - Tableau d'utilisateurs","",""
"Vérifie que la page des bénéficiaires est accessible et contient au moins un bénéficiaire","4179","affiche la page et contient au moins un bénéficiaire","","2026-07-16","passed","2026-07-16","","Bénéficiaires - ZotoBank","",""
"","2340","refuse la connexion avec JOHNDOE et le bon mot de passe","","2026-07-16","passed","2026-07-16","","Robustesse de la connexion - sensibilité à la casse","",""
"","1652","ferme la modale quand on annule sans envoyer la transaction","","2026-07-16","passed","2026-07-16","","Nouvelle transaction - ZotoBank","",""
"","1305","affiche un état vide quand la recherche ne donne aucun résultat","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"","1462","ouvre le détail d'une transaction depuis la liste","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"","1221","affiche un état vide quand on combine le filtre envoyés et une recherche sans résultat","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"","2799","le compte principal voit le bénéficiaire dans sa liste","Gestion de plusieurs utilisateurs","2026-07-16","passed","2026-07-16","","Stratégie A - Objet nommé par rôle","",""
"","1365","redirige vers la page de réinitialisation lorsqu'on clique sur Mot de passe oublié","","2026-07-16","passed","2026-07-16","","Navigation - mot de passe oublié","",""
"Vérifie que le formulaire d'ajout de bénéficiaire peut être ouvert","1005","ouvre le formulaire d'ajout d'un bénéficiaire","","2026-07-16","passed","2026-07-16","","Bénéficiaires - ZotoBank","",""
"","2033","fonctionne avec une fonction classique","","2026-07-16","passed","2026-07-16","","Piège des arrow functions","",""
"","2382","retrouve toutes les transactions après réinitialisation des filtres","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"","1458","affiche la modale de confirmation avec le bon destinataire et le bon montant","","2026-07-16","passed","2026-07-16","","Nouvelle transaction - ZotoBank","",""
"","957","filtre les transactions en attente ou affiche un état vide","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"Vérifie que l'erreur est affichée pour un utilisateur inexistant","3079","affiche une erreur pour un nom d'utilisateur inexistant","","2026-07-16","passed","2026-07-16","","Bénéficiaires - ZotoBank","",""
"","488","retrouve le compte principal dans le tableau et se connecte","Gestion de plusieurs utilisateurs","2026-07-16","passed","2026-07-16","","Stratégie B - Tableau d'utilisateurs","",""
"","3889","affiche la liste des transactions après connexion","","2026-07-16","passed","2026-07-16","","Transactions - ZotoBank","",""
"","1868","refuse la connexion lorsque le nom d'utilisateur contient des espaces","","2026-07-16","passed","2026-07-16","","Robustesse de la connexion - gestion des espaces","",""
